INFO 2018-06-10 14:29:01,270 41 id: 5b16ab48898e0a1465a2d544 got wrong coordinate
INFO 2018-06-10 15:27:21,019 45 id: 5b16ab48898e0a1465a2d544 got wrong coordinate
INFO 2018-06-10 15:29:19,779 45 id: 5b16ab48898e0a1465a2d544 got wrong coordinate
INFO 2018-06-10 15:29:19,789 55 id: 5b16ab48898e0a1465a2d53f updated coordinate
INFO 2018-06-10 15:29:19,792 55 id: 5b16ab48898e0a1465a2d540 updated coordinate
INFO 2018-06-10 15:29:19,794 55 id: 5b16ab48898e0a1465a2d541 updated coordinate
INFO 2018-06-10 15:29:19,797 55 id: 5b16ab48898e0a1465a2d542 updated coordinate
INFO 2018-06-10 15:29:19,799 55 id: 5b16ab48898e0a1465a2d543 updated coordinate
INFO 2018-06-10 15:29:19,802 55 id: 5b16ab48898e0a1465a2d545 updated coordinate
INFO 2018-06-10 15:29:19,804 55 id: 5b16ab48898e0a1465a2d546 updated coordinate
INFO 2018-06-10 15:29:19,806 55 id: 5b16ab49898e0a1465a2d547 updated coordinate
INFO 2018-06-10 15:29:19,809 55 id: 5b16ab49898e0a1465a2d548 updated coordinate
INFO 2018-06-10 15:36:43,311 41 id: 5b16ab48898e0a1465a2d544 got wrong coordinate
INFO 2018-06-10 15:36:43,316 54 id: 5b16ab48898e0a1465a2d53f updated coordinate
INFO 2018-06-10 15:36:43,318 54 id: 5b16ab48898e0a1465a2d540 updated coordinate
INFO 2018-06-10 15:36:43,320 54 id: 5b16ab48898e0a1465a2d541 updated coordinate
INFO 2018-06-10 15:36:43,322 54 id: 5b16ab48898e0a1465a2d542 updated coordinate
INFO 2018-06-10 15:36:43,324 54 id: 5b16ab48898e0a1465a2d543 updated coordinate
INFO 2018-06-10 15:36:43,325 54 id: 5b16ab48898e0a1465a2d545 updated coordinate
INFO 2018-06-10 15:36:43,327 54 id: 5b16ab48898e0a1465a2d546 updated coordinate
INFO 2018-06-10 15:36:43,329 54 id: 5b16ab49898e0a1465a2d547 updated coordinate
INFO 2018-06-10 15:36:43,330 54 id: 5b16ab49898e0a1465a2d548 updated coordinate
INFO 2018-06-10 15:36:43,491 54 id: 5b16ab49898e0a1465a2d549 updated coordinate
INFO 2018-06-10 15:36:43,493 54 id: 5b16ab49898e0a1465a2d54a updated coordinate
INFO 2018-06-10 15:36:43,495 54 id: 5b16ab49898e0a1465a2d54b updated coordinate
INFO 2018-06-10 15:36:43,497 54 id: 5b16ab49898e0a1465a2d54c updated coordinate
INFO 2018-06-10 15:36:43,499 54 id: 5b16ab49898e0a1465a2d54d updated coordinate
INFO 2018-06-10 15:36:43,501 54 id: 5b16ab49898e0a1465a2d54e updated coordinate
INFO 2018-06-10 15:36:43,502 54 id: 5b16ab49898e0a1465a2d54f updated coordinate
INFO 2018-06-10 15:36:43,504 54 id: 5b16ab49898e0a1465a2d550 updated coordinate
INFO 2018-06-10 15:36:43,506 54 id: 5b16ab49898e0a1465a2d551 updated coordinate
INFO 2018-06-10 15:36:43,507 54 id: 5b16ab49898e0a1465a2d552 updated coordinate
INFO 2018-06-10 15:36:43,655 41 id: 5b16ab49898e0a1465a2d557 got wrong coordinate
INFO 2018-06-10 15:36:43,657 41 id: 5b16ab49898e0a1465a2d55b got wrong coordinate
INFO 2018-06-10 15:36:43,661 54 id: 5b16ab49898e0a1465a2d553 updated coordinate
INFO 2018-06-10 15:36:43,664 54 id: 5b16ab49898e0a1465a2d554 updated coordinate
INFO 2018-06-10 15:36:43,666 54 id: 5b16ab49898e0a1465a2d555 updated coordinate
INFO 2018-06-10 15:36:43,668 54 id: 5b16ab49898e0a1465a2d556 updated coordinate
INFO 2018-06-10 15:36:43,670 54 id: 5b16ab49898e0a1465a2d558 updated coordinate
INFO 2018-06-10 15:36:43,671 54 id: 5b16ab49898e0a1465a2d559 updated coordinate
INFO 2018-06-10 15:36:43,673 54 id: 5b16ab49898e0a1465a2d55a updated coordinate
INFO 2018-06-10 15:36:43,675 54 id: 5b16ab49898e0a1465a2d55c updated coordinate
INFO 2018-06-10 15:36:43,810 41 id: 5b16ab49898e0a1465a2d55d got wrong coordinate
INFO 2018-06-10 15:36:43,828 54 id: 5b16ab49898e0a1465a2d55e updated coordinate
INFO 2018-06-10 15:36:43,833 54 id: 5b16ab49898e0a1465a2d55f updated coordinate
INFO 2018-06-10 15:36:43,835 54 id: 5b16ab49898e0a1465a2d560 updated coordinate
INFO 2018-06-10 15:36:43,841 54 id: 5b16ab49898e0a1465a2d561 updated coordinate
INFO 2018-06-10 15:36:43,846 54 id: 5b16ab49898e0a1465a2d562 updated coordinate
INFO 2018-06-10 15:36:43,850 54 id: 5b16ab49898e0a1465a2d563 updated coordinate
INFO 2018-06-10 15:36:43,854 54 id: 5b16ab49898e0a1465a2d564 updated coordinate
INFO 2018-06-10 15:36:43,859 54 id: 5b16ab49898e0a1465a2d565 updated coordinate
INFO 2018-06-10 15:36:43,871 54 id: 5b16ab49898e0a1465a2d566 updated coordinate
INFO 2018-06-10 15:36:44,030 41 id: 5b16ab49898e0a1465a2d570 got wrong coordinate
INFO 2018-06-10 15:36:44,034 54 id: 5b16ab49898e0a1465a2d567 updated coordinate
INFO 2018-06-10 15:36:44,036 54 id: 5b16ab49898e0a1465a2d568 updated coordinate
INFO 2018-06-10 15:36:44,038 54 id: 5b16ab49898e0a1465a2d569 updated coordinate
INFO 2018-06-10 15:36:44,040 54 id: 5b16ab49898e0a1465a2d56a updated coordinate
INFO 2018-06-10 15:36:44,042 54 id: 5b16ab49898e0a1465a2d56b updated coordinate
INFO 2018-06-10 15:36:44,044 54 id: 5b16ab49898e0a1465a2d56c updated coordinate
INFO 2018-06-10 15:36:44,046 54 id: 5b16ab49898e0a1465a2d56d updated coordinate
INFO 2018-06-10 15:36:44,048 54 id: 5b16ab49898e0a1465a2d56e updated coordinate
INFO 2018-06-10 15:36:44,050 54 id: 5b16ab49898e0a1465a2d56f updated coordinate
INFO 2018-06-10 15:36:44,197 54 id: 5b16ab49898e0a1465a2d571 updated coordinate
INFO 2018-06-10 15:36:44,201 54 id: 5b16ab49898e0a1465a2d572 updated coordinate
INFO 2018-06-10 15:36:44,209 54 id: 5b16ab49898e0a1465a2d573 updated coordinate
INFO 2018-06-10 15:36:44,212 54 id: 5b16ab49898e0a1465a2d574 updated coordinate
INFO 2018-06-10 15:36:44,216 54 id: 5b16ab49898e0a1465a2d575 updated coordinate
INFO 2018-06-10 15:36:44,219 54 id: 5b16ab49898e0a1465a2d576 updated coordinate
INFO 2018-06-10 15:36:44,226 54 id: 5b16ab49898e0a1465a2d577 updated coordinate
INFO 2018-06-10 15:36:44,230 54 id: 5b16ab49898e0a1465a2d578 updated coordinate
INFO 2018-06-10 15:36:44,233 54 id: 5b16ab49898e0a1465a2d579 updated coordinate
