name,telephone,address,metro_line,metro_line_1,metro_line_2,metro_line_3,metro_line_4,metro_line_5,metro_line_7,metro_line_9,metro_line_11,coordinate,X,Y,price_with_unit,price,district,subdistrict,room_type,room_area,room_height,room_fase_to
东方玫瑰，花园小区，南北通透，价格可谈！ 附两个车位,https://sz.zu.anjuke.com/fangyuan/1161932620,深圳市福田区景田深南大道东方玫瑰花园,1/2/9/11号线,1,2,Null,Null,Null,Null,9,11,"114.041923,22.540150",114.041923,22.54015,12000元/月,12000,福田,景田,4室2厅,142平米,8/12层,南北
艺丰花园 免费WiFi 紧邻地铁站 可月付 梅林,https://sz.zu.anjuke.com/fangyuan/1161717509,深圳市福田区梅林梅东一路2号艺丰花园(B区),4/9号线,Null,Null,Null,4,Null,Null,9,Null,"114.067389,22.570473",114.067389,22.570473,2000元/月,2000,福田,梅林,1室1厅,25平米,14/19层,朝东
中海怡瑞山居蛋壳公寓直租 双周保洁 值得信赖 性价比高,https://sz.zu.anjuke.com/fangyuan/1159901514,深圳市龙岗区丹竹头景芬路中海怡瑞山居,5号线,Null,Null,Null,Null,5,Null,Null,Null,"114.122881,22.619752",114.122881,22.619752,1470元/月,1470,龙岗,丹竹头,3室1厅,18平米,19/21层,朝东
一甲海边新村 直租立减3000  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1160847474,深圳市南山区南头前海路3300号一甲海边新村,1号线,1,Null,Null,Null,Null,Null,Null,Null,"113.915452,22.538701",113.915452,22.538701,2300元/月,2300,南山,南头,3室1厅,16平米,16/26层,西南
宝河大厦蛋壳公寓直租 双周保洁 值得信赖 性价比高,https://sz.zu.anjuke.com/fangyuan/1159900305,深圳市宝安区新安宝农北巷98号宝河大厦,5号线,Null,Null,Null,Null,5,Null,Null,Null,"113.908275,22.560888",113.908275,22.560888,1960元/月,1960,宝安,新安,3室1厅,21平米,15/22层,朝东
安侨苑酒店式公寓  物业家私齐全 即可,https://sz.zu.anjuke.com/fangyuan/1162688729,深圳市福田区农科中心安托山七路安侨苑,2/7号线,Null,2,Null,Null,Null,7,Null,Null,"114.010921,22.551030",114.010921,22.55103,9000元/月,9000,福田,农科中心,2室1厅,90平米,12/32层,朝北
文华居 房源 家具齐全 紧邻地铁站 押一付一 西乡,https://sz.zu.anjuke.com/fangyuan/1162095772,深圳市宝安区西乡麻布新村一巷1号文华居,1号线,1,Null,Null,Null,Null,Null,Null,Null,"113.870550,22.569677",113.87055,22.569677,1580元/月,1580,宝安,西乡,3室1厅,17平米,11/23层,朝东
蛋壳公寓热租中，先到先得，好房不等人，家电齐全，拎包入住,https://sz.zu.anjuke.com/fangyuan/1160539015,深圳市宝安区新安建安一路502号雅豪轩(弘雅花园三期),Null,Null,Null,Null,Null,Null,Null,Null,Null,"113.893652,22.575361",113.893652,22.575361,2236元/月,2236,宝安,新安,3室1厅,23平米,11/31层,朝东
东海岸三期，7200元/月，干净整洁，随时入住,https://sz.zu.anjuke.com/fangyuan/1162574912,深圳市盐田区梅沙环碧路万科东海岸,Null,Null,Null,Null,Null,Null,Null,Null,Null,"114.301751,22.603105",114.301751,22.603105,7200元/月,7200,盐田,梅沙,3室2厅,165平米,7/16层,东南
浅水湾蛋壳公寓直租 智能门锁 通勤便利 月付无压力,https://sz.zu.anjuke.com/fangyuan/1163507023,深圳市南山区科技园高新南环路61号卓越浅水湾,2/11号线,Null,2,Null,Null,Null,Null,Null,11,"113.947307,22.522507",113.947307,22.522507,1820元/月,1820,南山,科技园,3室1厅,21平米,17/24层,朝东
