,price_unit,create_datetime,district,room_height,title,url,price,subdistrict,metro_line,cover_url,room_fase_to,community,room_area,community_view_url,renting_type,_id,room_type,location
0,元/月,2018-06-05 23:27:59.878213,罗湖,15/17层,鸿翠苑蛋壳公寓直租，月付无中介，双周保洁，精装修，,https://sz.zu.anjuke.com/fangyuan/1163548646,1360,草埔,3号线,https://pic1.ajkimg.com/display/hj/554469d12a87f64b817b123cb043fc9d/240x180m.jpg?t=1,朝东,鸿翠苑,16平米,https://shenzhen.anjuke.com/community/view/235563,合租,5b16abff898e0a1465a2e8c7,3室1厅,金稻田路2053号
1,元/月,2018-06-05 23:27:59.882910,罗湖,12/31层,合正精装正规一房一厅44平米4700元家电全齐看中可议,https://sz.zu.anjuke.com/fangyuan/1163369228,4700,洪湖,3/7号线,https://pic1.ajkimg.com/display/hj/634cadefb4e07f99aca5dda4ec93e087/240x180m.jpg?t=1,朝南,合正锦湖逸园,44平米,https://shenzhen.anjuke.com/community/view/97544,整租,5b16abff898e0a1465a2e8c8,1室1厅,洪湖一街21号
2,元/月,2018-06-05 23:27:59.890401,宝安,17/19层,东塘东兴花园 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1160223296,1800,沙井,Null,https://pic1.ajkimg.com/display/hj/3f671b1db2f574403ccfe5fd924f1629/240x180m.jpg?t=1,朝南,东塘东兴花园,16平米,https://shenzhen.anjuke.com/community/view/491243,合租,5b16abff898e0a1465a2e8c9,3室1厅,民福路
3,元/月,2018-06-05 23:27:59.896773,宝安,21/23层,宝安机场  免费WiFi 紧邻地铁站 后瑞华庭,https://sz.zu.anjuke.com/fangyuan/1163539396,1440,宝安机场,1号线,https://pic1.ajkimg.com/display/hj/93ba044fbfe00d1e9273a769a1bfe4d9/240x180m.jpg?t=1,朝东,后瑞华庭,16平米,https://shenzhen.anjuke.com/community/view/796784,合租,5b16abff898e0a1465a2e8ca,3室1厅,新瑞路
4,元/月,2018-06-05 23:27:59.903139,龙岗,16/21层,翠薇园 直租立减2200  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159901308,2000,丹竹头,3号线,https://pic1.ajkimg.com/display/hj/24544601eb41ddbe04b2642d3fe06732/240x180m.jpg?t=1,朝南,东方半岛花园,16平米,https://shenzhen.anjuke.com/community/view/97322,合租,5b16abff898e0a1465a2e8cb,3室1厅,布龙路2号
5,元/月,2018-06-05 23:27:59.910883,福田,21/21层,黄埔雅苑一期、正规大两房业主诚心出租！,https://sz.zu.anjuke.com/fangyuan/1160730064,9000,莲花,2/3/4/11号线,https://pic1.ajkimg.com/display/hj/223919f2faa2eed710208ed8183412bd/240x180m.jpg?t=1,西北,黄埔雅苑翠悠园(黄埔雅苑一期),78平米,https://shenzhen.anjuke.com/community/view/98227,整租,5b16abff898e0a1465a2e8cc,2室2厅,福中路318号
6,元/月,2018-06-05 23:27:59.915346,龙华,11/30层,商业发达  小区景观好   物业严格  是居家不二选择,https://sz.zu.anjuke.com/fangyuan/1161692695,8500,梅林关口,4号线,https://pic1.ajkimg.com/display/hj/9d574d0d07a1b2f364b5c329a2843f0b/240x180m.jpg?t=1,朝南,龙光玖龙玺,89平米,https://shenzhen.anjuke.com/community/view/767076,整租,5b16abff898e0a1465a2e8cd,4室2厅,新区大道
7,元/月,2018-06-05 23:27:59.923017,龙岗,17/19层,余岭山庄蛋壳公寓直租  交通便利 无中介,https://sz.zu.anjuke.com/fangyuan/1161382303,1090,龙岗中心城,3号线,https://pic1.ajkimg.com/display/hj/11dd291b92067a01d5f2f39e1e28200d/240x180m.jpg?t=1,朝东,余岭山庄,18平米,https://shenzhen.anjuke.com/community/view/96677,合租,5b16abff898e0a1465a2e8ce,3室1厅,余岭东路11号
8,元/月,2018-06-05 23:27:59.929501,南山,6/19层,齐云阁 直租立减1000  精装修带家私 押一付一,https://sz.zu.anjuke.com/fangyuan/1159901901,1750,华侨城,1/2号线,https://pic1.ajkimg.com/display/hj/9af1ce1d6e821e5b6165a8151062d95b/240x180m.jpg?t=1,东南,齐云阁,14平米,https://shenzhen.anjuke.com/community/view/843733,合租,5b16abff898e0a1465a2e8cf,4室1厅,侨城西街
9,元/月,2018-06-05 23:27:59.936679,福田,9/21层,荔园阁一期  精装卧室 押一付一 房价透明 包物业 梅林,https://sz.zu.anjuke.com/fangyuan/1162626765,1780,梅林,4/9号线,https://pic1.ajkimg.com/display/hj/dd9afac3b5a2d9e86fddf5da034eeed0/240x180m.jpg?t=1,朝东,荔园阁一期,18平米,https://shenzhen.anjuke.com/community/view/96024,合租,5b16abff898e0a1465a2e8d0,3室1厅,下梅林西横街
10,元/月,2018-06-05 23:27:59.942003,龙岗,21/23层,水岸新都  客厅开阔 无中介 房价透明 双周保洁 龙岗中心城,https://sz.zu.anjuke.com/fangyuan/1162135797,1370,坪地,Null,https://pic1.ajkimg.com/display/hj/e2165ea941f4e4046d2202b8c6e415b8/240x180m.jpg?t=1,朝东,水岸新都(一期),16平米,https://shenzhen.anjuke.com/community/view/96623,合租,5b16abff898e0a1465a2e8d1,3室1厅,坪西路
